,1. open,2. high,3. low,4. close,5. volume
2023-12-25,2058.47,2058.58,2054.13,2055.03,0.0
2023-12-22,2052.89,2070.65,2046.89,2053.15,0.0
2023-12-21,2032.23,2055.07,2032.04,2052.88,0.0
2023-12-20,2040.92,2043.51,2027.51,2032.24,0.0
2023-12-19,2027.77,2047.01,2021.75,2041.0,0.0
2023-12-18,2017.63,2033.72,2016.17,2027.72,0.0
2023-12-17,2019.76,2020.15,2016.05,2017.54,0.0
2023-12-15,2035.7,2044.96,2015.69,2019.6,0.0
2023-12-14,2032.91,2047.93,2027.7,2035.64,0.0
2023-12-13,1982.59,2033.21,1973.16,2032.93,0.0
2023-12-12,1983.05,1996.72,1977.25,1982.6,0.0
2023-12-11,2007.13,2007.88,1975.94,1983.04,0.0
2023-12-10,2005.73,2007.69,2004.68,2007.18,0.0
2023-12-08,2028.18,2034.09,1994.74,2004.49,0.0
2023-12-07,2027.16,2040.01,2020.25,2028.17,0.0
2023-12-06,2018.98,2035.96,2018.85,2027.17,0.0
