,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
98,1761.595,1768.335,1775.58,1787.59,1795.755,1803.455,1803.855,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94
99,1768.335,1775.58,1787.59,1795.755,1803.455,1803.855,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375
100,1775.58,1787.59,1795.755,1803.455,1803.855,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34
101,1787.59,1795.755,1803.455,1803.855,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06
102,1795.755,1803.455,1803.855,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575
103,1803.455,1803.855,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27
104,1803.855,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76
105,1808.56,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59
106,1807.165,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275
107,1809.135,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43
108,1826.415,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225
109,1829.475,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485
110,1812.19,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435
111,1811.565,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435,1779.34
112,1809.81,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435,1779.34,1787.5
113,1802.67,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435,1779.34,1787.5,1786.31
114,1807.21,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435,1779.34,1787.5,1786.31,1787.485
115,1802.785,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435,1779.34,1787.5,1786.31,1787.485,1779.07
116,1797.82,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435,1779.34,1787.5,1786.31,1787.485,1779.07,1781.43
117,1799.94,1809.375,1830.34,1814.06,1812.575,1811.27,1811.76,1803.59,1764.275,1731.43,1730.225,1752.485,1753.435,1779.34,1787.5,1786.31,1787.485,1779.07,1781.43,1804.885
